 >REASHP: option FROM_FILE
       650 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.02435  -0.06320  -0.04650 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    420    4    3   10 1 1 1
    421    4    4    1 1 1 1
    422    4    4    2 1 1 1
    423    4    4    3 1 1 1
    424    4    4    4 1 1 1
    425    4    4    5 1 1 1
    426    4    4    6 1 1 1
    427    4    4    7 1 1 1
    428    4    4    8 1 1 1
    429    4    4    9 1 1 1
    430    4    4   10 1 1 1
    431    4    5    1 1 1 1
    432    4    5    2 1 1 1
    433    4    5    3 1 1 1
    434    4    5    4 1 1 1
    435    4    5    5 1 1 1
    436    4    5    6 1 1 1
    437    4    5    7 1 1 1
    438    4    5    8 1 1 1
    439    4    5    9 1 1 1
    440    4    5   10 1 1 1
    441    4    6    1 1 1 1
    442    4    6    2 1 1 1
    443    4    6    3 1 1 1
    444    4    6    4 1 1 1
    445    4    6    5 1 1 1
    446    4    6    6 1 1 1
    447    4    6    7 1 1 1
    448    4    6    8 1 1 1
    449    4    6    9 1 1 1
    450    4    6   10 1 1 1
    451    4    7    1 1 1 1
    452    4    7    2 1 1 1
    453    4    7    3 1 1 1
    454    4    7    4 1 1 1
    455    4    7    5 1 1 1
    456    4    7    6 1 1 1
    457    4    7    7 1 1 1
    458    4    7    8 1 1 1
    459    4    7    9 1 1 1
    460    4    7   10 1 1 1
    461    4    8    1 1 1 1
    462    4    8    2 1 1 1
    463    4    8    3 1 1 1
    464    4    8    4 1 1 1
    465    4    8    5 1 1 1
    466    4    8    6 1 1 1
    467    4    8    7 1 1 1
    468    4    8    8 1 1 1
    469    4    8    9 1 1 1
    470    4    8   10 1 1 1
    471    4    9    1 1 1 1
    472    4    9    2 1 1 1
    473    4    9    3 1 1 1
    474    4    9    4 1 1 1
    475    4    9    5 1 1 1
    476    4    9    6 1 1 1
    477    4    9    7 1 1 1
    478    4    9    8 1 1 1
    479    4    9    9 1 1 1
    480    4    9   10 1 1 1
    481    4   10    1 1 1 1
    482    4   10    2 1 1 1
    483    4   10    3 1 1 1
    484    4   10    4 1 1 1
    485    4   10    5 1 1 1
    486    4   10    6 1 1 1
    487    4   10    7 1 1 1
    488    4   10    8 1 1 1
    489    4   10    9 1 1 1
    490    4   10   10 1 1 1
    491    4   11    1 1 1 1
    492    4   11    2 1 1 1
    493    4   11    3 1 1 1
    494    4   11    4 1 1 1
    495    4   11    5 1 1 1
    496    4   11    6 1 1 1
    497    4   11    7 1 1 1
    498    4   11    8 1 1 1
    499    4   11    9 1 1 1
    500    4   11   10 1 1 1
    501    4   12    1 1 1 1
    502    4   12    2 1 1 1
    503    4   12    3 1 1 1
    504    4   12    4 1 1 1
    505    4   12    5 1 1 1
    506    4   12    6 1 1 1
    507    4   12    7 1 1 1
    508    4   12    8 1 1 1
    509    4   12    9 1 1 1
    510    4   12   10 1 1 1
    511    4   13    1 1 1 1
    512    4   13    2 1 1 1
    513    4   13    3 1 1 1
    514    4   13    4 1 1 1
    515    4   13    5 1 1 1
    516    4   13    6 1 1 1
    517    4   13    7 1 1 1
    518    4   13    8 1 1 1
    519    4   13    9 1 1 1
    520    4   13   10 1 1 1
    521    5    1    1 1 1 1
    522    5    1    2 1 1 1
    523    5    1    3 1 1 1
    524    5    1    4 1 1 1
    525    5    1    5 1 1 1
    526    5    1    6 1 1 1
    527    5    1    7 1 1 1
    528    5    1    8 1 1 1
    529    5    1    9 1 1 1
    530    5    1   10 1 1 1
    531    5    2    1 1 1 1
    532    5    2    2 1 1 1
    533    5    2    3 1 1 1
    534    5    2    4 1 1 1
    535    5    2    5 1 1 1
    536    5    2    6 1 1 1
    537    5    2    7 1 1 1
    538    5    2    8 1 1 1
    539    5    2    9 1 1 1
    540    5    2   10 1 1 1
    541    5    3    1 1 1 1
    542    5    3    2 1 1 1
    543    5    3    3 1 1 1
    544    5    3    4 1 1 1
    545    5    3    5 1 1 1
    546    5    3    6 1 1 1
    547    5    3    7 1 1 1
    548    5    3    8 1 1 1
    549    5    3    9 1 1 1
    550    5    3   10 1 1 1
    551    5    4    1 1 1 1
    552    5    4    2 1 1 1
    553    5    4    3 1 1 1
    554    5    4    4 1 1 1
    555    5    4    5 1 1 1
    556    5    4    6 1 1 1
    557    5    4    7 1 1 1
    558    5    4    8 1 1 1
    559    5    4    9 1 1 1
    560    5    4   10 1 1 1
    561    5    5    1 1 1 1
    562    5    5    2 1 1 1
    563    5    5    3 1 1 1
    564    5    5    4 1 1 1
    565    5    5    5 1 1 1
    566    5    5    6 1 1 1
    567    5    5    7 1 1 1
    568    5    5    8 1 1 1
    569    5    5    9 1 1 1
    570    5    5   10 1 1 1
    571    5    6    1 1 1 1
    572    5    6    2 1 1 1
    573    5    6    3 1 1 1
