 >TARREC   rectangular prism; AX,AY,AZ= 41.9000 10.0000 10.0000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -42.50000  -5.50000  -5.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    358  22   9   1 1 1 1
    359  23   9   1 1 1 1
    360  24   9   1 1 1 1
    361  25   9   1 1 1 1
    362  26   9   1 1 1 1
    363  27   9   1 1 1 1
    364  28   9   1 1 1 1
    365  29   9   1 1 1 1
    366  30   9   1 1 1 1
    367  31   9   1 1 1 1
    368  32   9   1 1 1 1
    369  33   9   1 1 1 1
    370  34   9   1 1 1 1
    371  35   9   1 1 1 1
    372  36   9   1 1 1 1
    373  37   9   1 1 1 1
    374  38   9   1 1 1 1
    375  39   9   1 1 1 1
    376  40   9   1 1 1 1
    377  41   9   1 1 1 1
    378  42   9   1 1 1 1
    379   1  10   1 1 1 1
    380   2  10   1 1 1 1
    381   3  10   1 1 1 1
    382   4  10   1 1 1 1
    383   5  10   1 1 1 1
    384   6  10   1 1 1 1
    385   7  10   1 1 1 1
    386   8  10   1 1 1 1
    387   9  10   1 1 1 1
    388  10  10   1 1 1 1
    389  11  10   1 1 1 1
    390  12  10   1 1 1 1
    391  13  10   1 1 1 1
    392  14  10   1 1 1 1
    393  15  10   1 1 1 1
    394  16  10   1 1 1 1
    395  17  10   1 1 1 1
    396  18  10   1 1 1 1
    397  19  10   1 1 1 1
    398  20  10   1 1 1 1
    399  21  10   1 1 1 1
    400  22  10   1 1 1 1
    401  23  10   1 1 1 1
    402  24  10   1 1 1 1
    403  25  10   1 1 1 1
    404  26  10   1 1 1 1
    405  27  10   1 1 1 1
    406  28  10   1 1 1 1
    407  29  10   1 1 1 1
    408  30  10   1 1 1 1
    409  31  10   1 1 1 1
    410  32  10   1 1 1 1
    411  33  10   1 1 1 1
    412  34  10   1 1 1 1
    413  35  10   1 1 1 1
    414  36  10   1 1 1 1
    415  37  10   1 1 1 1
    416  38  10   1 1 1 1
    417  39  10   1 1 1 1
    418  40  10   1 1 1 1
    419  41  10   1 1 1 1
    420  42  10   1 1 1 1
    421   1   1   2 1 1 1
    422   2   1   2 1 1 1
    423   3   1   2 1 1 1
    424   4   1   2 1 1 1
    425   5   1   2 1 1 1
    426   6   1   2 1 1 1
    427   7   1   2 1 1 1
    428   8   1   2 1 1 1
    429   9   1   2 1 1 1
    430  10   1   2 1 1 1
    431  11   1   2 1 1 1
    432  12   1   2 1 1 1
    433  13   1   2 1 1 1
    434  14   1   2 1 1 1
    435  15   1   2 1 1 1
    436  16   1   2 1 1 1
    437  17   1   2 1 1 1
    438  18   1   2 1 1 1
    439  19   1   2 1 1 1
    440  20   1   2 1 1 1
    441  21   1   2 1 1 1
    442  22   1   2 1 1 1
    443  23   1   2 1 1 1
    444  24   1   2 1 1 1
    445  25   1   2 1 1 1
    446  26   1   2 1 1 1
    447  27   1   2 1 1 1
    448  28   1   2 1 1 1
    449  29   1   2 1 1 1
    450  30   1   2 1 1 1
    451  31   1   2 1 1 1
    452  32   1   2 1 1 1
    453  33   1   2 1 1 1
    454  34   1   2 1 1 1
    455  35   1   2 1 1 1
    456  36   1   2 1 1 1
    457  37   1   2 1 1 1
    458  38   1   2 1 1 1
    459  39   1   2 1 1 1
    460  40   1   2 1 1 1
    461  41   1   2 1 1 1
    462  42   1   2 1 1 1
    463   1   2   2 1 1 1
    464   2   2   2 1 1 1
    465   3   2   2 1 1 1
    466   4   2   2 1 1 1
    467   5   2   2 1 1 1
    468   6   2   2 1 1 1
    469   7   2   2 1 1 1
    470   8   2   2 1 1 1
    471   9   2   2 1 1 1
    472  10   2   2 1 1 1
    473  11   2   2 1 1 1
    474  12   2   2 1 1 1
