 >TARREC   rectangular prism; AX,AY,AZ= 16.0000 16.0000 16.0000
      4096 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000  -8.50000  -8.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    586  10   5   3 1 1 1
    587  11   5   3 1 1 1
    588  12   5   3 1 1 1
    589  13   5   3 1 1 1
    590  14   5   3 1 1 1
    591  15   5   3 1 1 1
    592  16   5   3 1 1 1
    593   1   6   3 1 1 1
    594   2   6   3 1 1 1
    595   3   6   3 1 1 1
    596   4   6   3 1 1 1
    597   5   6   3 1 1 1
    598   6   6   3 1 1 1
    599   7   6   3 1 1 1
    600   8   6   3 1 1 1
    601   9   6   3 1 1 1
    602  10   6   3 1 1 1
    603  11   6   3 1 1 1
    604  12   6   3 1 1 1
    605  13   6   3 1 1 1
    606  14   6   3 1 1 1
    607  15   6   3 1 1 1
    608  16   6   3 1 1 1
    609   1   7   3 1 1 1
    610   2   7   3 1 1 1
    611   3   7   3 1 1 1
    612   4   7   3 1 1 1
    613   5   7   3 1 1 1
    614   6   7   3 1 1 1
    615   7   7   3 1 1 1
    616   8   7   3 1 1 1
    617   9   7   3 1 1 1
    618  10   7   3 1 1 1
    619  11   7   3 1 1 1
    620  12   7   3 1 1 1
    621  13   7   3 1 1 1
    622  14   7   3 1 1 1
    623  15   7   3 1 1 1
    624  16   7   3 1 1 1
    625   1   8   3 1 1 1
    626   2   8   3 1 1 1
    627   3   8   3 1 1 1
    628   4   8   3 1 1 1
    629   5   8   3 1 1 1
    630   6   8   3 1 1 1
    631   7   8   3 1 1 1
    632   8   8   3 1 1 1
    633   9   8   3 1 1 1
    634  10   8   3 1 1 1
    635  11   8   3 1 1 1
    636  12   8   3 1 1 1
    637  13   8   3 1 1 1
    638  14   8   3 1 1 1
    639  15   8   3 1 1 1
    640  16   8   3 1 1 1
    641   1   9   3 1 1 1
    642   2   9   3 1 1 1
    643   3   9   3 1 1 1
    644   4   9   3 1 1 1
    645   5   9   3 1 1 1
    646   6   9   3 1 1 1
    647   7   9   3 1 1 1
    648   8   9   3 1 1 1
    649   9   9   3 1 1 1
    650  10   9   3 1 1 1
    651  11   9   3 1 1 1
    652  12   9   3 1 1 1
    653  13   9   3 1 1 1
    654  14   9   3 1 1 1
    655  15   9   3 1 1 1
    656  16   9   3 1 1 1
    657   1  10   3 1 1 1
