 >REASHP: option FROM_FILE
      5130 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.02285  -0.13055  -0.18760 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    812    1   22   14 1 1 1
    813    1   22   15 1 1 1
    814    1   22   16 1 1 1
    815    1   22   17 1 1 1
    816    1   22   18 1 1 1
    817    1   22   19 1 1 1
    818    1   22   20 1 1 1
    819    1   22   21 1 1 1
    820    1   22   22 1 1 1
    821    1   22   23 1 1 1
    822    1   22   24 1 1 1
    823    1   22   25 1 1 1
    824    1   22   26 1 1 1
    825    1   22   27 1 1 1
    826    1   22   28 1 1 1
    827    1   22   29 1 1 1
    828    1   22   30 1 1 1
    829    1   22   31 1 1 1
    830    1   22   32 1 1 1
    831    1   22   33 1 1 1
    832    1   22   34 1 1 1
    833    1   22   35 1 1 1
    834    1   22   36 1 1 1
    835    1   22   37 1 1 1
    836    1   22   38 1 1 1
    837    1   23    1 1 1 1
    838    1   23    2 1 1 1
    839    1   23    3 1 1 1
    840    1   23    4 1 1 1
    841    1   23    5 1 1 1
    842    1   23    6 1 1 1
    843    1   23    7 1 1 1
    844    1   23    8 1 1 1
    845    1   23    9 1 1 1
    846    1   23   10 1 1 1
    847    1   23   11 1 1 1
    848    1   23   12 1 1 1
    849    1   23   13 1 1 1
    850    1   23   14 1 1 1
    851    1   23   15 1 1 1
    852    1   23   16 1 1 1
    853    1   23   17 1 1 1
    854    1   23   18 1 1 1
    855    1   23   19 1 1 1
    856    1   23   20 1 1 1
    857    1   23   21 1 1 1
    858    1   23   22 1 1 1
    859    1   23   23 1 1 1
    860    1   23   24 1 1 1
    861    1   23   25 1 1 1
    862    1   23   26 1 1 1
    863    1   23   27 1 1 1
    864    1   23   28 1 1 1
    865    1   23   29 1 1 1
    866    1   23   30 1 1 1
    867    1   23   31 1 1 1
    868    1   23   32 1 1 1
    869    1   23   33 1 1 1
    870    1   23   34 1 1 1
    871    1   23   35 1 1 1
    872    1   23   36 1 1 1
    873    1   23   37 1 1 1
    874    1   23   38 1 1 1
    875    1   24    1 1 1 1
    876    1   24    2 1 1 1
    877    1   24    3 1 1 1
    878    1   24    4 1 1 1
    879    1   24    5 1 1 1
