 >TARREC   rectangular prism; AX,AY,AZ= 10.0000 10.0000 41.9000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -10.50000  -5.50000 -21.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    453   3   6   5 1 1 1
    454   4   6   5 1 1 1
    455   5   6   5 1 1 1
    456   6   6   5 1 1 1
    457   7   6   5 1 1 1
    458   8   6   5 1 1 1
    459   9   6   5 1 1 1
    460  10   6   5 1 1 1
    461   1   7   5 1 1 1
    462   2   7   5 1 1 1
    463   3   7   5 1 1 1
    464   4   7   5 1 1 1
    465   5   7   5 1 1 1
    466   6   7   5 1 1 1
    467   7   7   5 1 1 1
    468   8   7   5 1 1 1
    469   9   7   5 1 1 1
    470  10   7   5 1 1 1
    471   1   8   5 1 1 1
    472   2   8   5 1 1 1
    473   3   8   5 1 1 1
    474   4   8   5 1 1 1
    475   5   8   5 1 1 1
    476   6   8   5 1 1 1
    477   7   8   5 1 1 1
    478   8   8   5 1 1 1
    479   9   8   5 1 1 1
    480  10   8   5 1 1 1
    481   1   9   5 1 1 1
    482   2   9   5 1 1 1
    483   3   9   5 1 1 1
    484   4   9   5 1 1 1
    485   5   9   5 1 1 1
    486   6   9   5 1 1 1
    487   7   9   5 1 1 1
    488   8   9   5 1 1 1
    489   9   9   5 1 1 1
    490  10   9   5 1 1 1
    491   1  10   5 1 1 1
    492   2  10   5 1 1 1
    493   3  10   5 1 1 1
    494   4  10   5 1 1 1
    495   5  10   5 1 1 1
    496   6  10   5 1 1 1
    497   7  10   5 1 1 1
    498   8  10   5 1 1 1
    499   9  10   5 1 1 1
    500  10  10   5 1 1 1
    501   1   1   6 1 1 1
    502   2   1   6 1 1 1
    503   3   1   6 1 1 1
    504   4   1   6 1 1 1
    505   5   1   6 1 1 1
    506   6   1   6 1 1 1
    507   7   1   6 1 1 1
    508   8   1   6 1 1 1
    509   9   1   6 1 1 1
    510  10   1   6 1 1 1
    511   1   2   6 1 1 1
    512   2   2   6 1 1 1
    513   3   2   6 1 1 1
    514   4   2   6 1 1 1
    515   5   2   6 1 1 1
    516   6   2   6 1 1 1
    517   7   2   6 1 1 1
    518   8   2   6 1 1 1
    519   9   2   6 1 1 1
    520  10   2   6 1 1 1
    521   1   3   6 1 1 1
    522   2   3   6 1 1 1
    523   3   3   6 1 1 1
    524   4   3   6 1 1 1
    525   5   3   6 1 1 1
    526   6   3   6 1 1 1
    527   7   3   6 1 1 1
    528   8   3   6 1 1 1
    529   9   3   6 1 1 1
    530  10   3   6 1 1 1
    531   1   4   6 1 1 1
    532   2   4   6 1 1 1
    533   3   4   6 1 1 1
    534   4   4   6 1 1 1
    535   5   4   6 1 1 1
    536   6   4   6 1 1 1
    537   7   4   6 1 1 1
    538   8   4   6 1 1 1
    539   9   4   6 1 1 1
    540  10   4   6 1 1 1
    541   1   5   6 1 1 1
    542   2   5   6 1 1 1
    543   3   5   6 1 1 1
    544   4   5   6 1 1 1
    545   5   5   6 1 1 1
    546   6   5   6 1 1 1
    547   7   5   6 1 1 1
    548   8   5   6 1 1 1
    549   9   5   6 1 1 1
    550  10   5   6 1 1 1
    551   1   6   6 1 1 1
    552   2   6   6 1 1 1
    553   3   6   6 1 1 1
    554   4   6   6 1 1 1
    555   5   6   6 1 1 1
    556   6   6   6 1 1 1
    557   7   6   6 1 1 1
    558   8   6   6 1 1 1
    559   9   6   6 1 1 1
    560  10   6   6 1 1 1
    561   1   7   6 1 1 1
    562   2   7   6 1 1 1
    563   3   7   6 1 1 1
    564   4   7   6 1 1 1
    565   5   7   6 1 1 1
    566   6   7   6 1 1 1
    567   7   7   6 1 1 1
    568   8   7   6 1 1 1
    569   9   7   6 1 1 1
    570  10   7   6 1 1 1
    571   1   8   6 1 1 1
    572   2   8   6 1 1 1
    573   3   8   6 1 1 1
    574   4   8   6 1 1 1
    575   5   8   6 1 1 1
    576   6   8   6 1 1 1
    577   7   8   6 1 1 1
    578   8   8   6 1 1 1
    579   9   8   6 1 1 1
    580  10   8   6 1 1 1
    581   1   9   6 1 1 1
    582   2   9   6 1 1 1
    583   3   9   6 1 1 1
    584   4   9   6 1 1 1
    585   5   9   6 1 1 1
    586   6   9   6 1 1 1
    587   7   9   6 1 1 1
    588   8   9   6 1 1 1
    589   9   9   6 1 1 1
    590  10   9   6 1 1 1
    591   1  10   6 1 1 1
    592   2  10   6 1 1 1
    593   3  10   6 1 1 1
    594   4  10   6 1 1 1
    595   5  10   6 1 1 1
    596   6  10   6 1 1 1
    597   7  10   6 1 1 1
    598   8  10   6 1 1 1
    599   9  10   6 1 1 1
    600  10  10   6 1 1 1
    601   1   1   7 1 1 1
    602   2   1   7 1 1 1
    603   3   1   7 1 1 1
    604   4   1   7 1 1 1
    605   5   1   7 1 1 1
    606   6   1   7 1 1 1
    607   7   1   7 1 1 1
    608   8   1   7 1 1 1
    609   9   1   7 1 1 1
    610  10   1   7 1 1 1
    611   1   2   7 1 1 1
    612   2   2   7 1 1 1
    613   3   2   7 1 1 1
    614   4   2   7 1 1 1
    615   5   2   7 1 1 1
    616   6   2   7 1 1 1
    617   7   2   7 1 1 1
    618   8   2   7 1 1 1
    619   9   2   7 1 1 1
    620  10   2   7 1 1 1
    621   1   3   7 1 1 1
    622   2   3   7 1 1 1
    623   3   3   7 1 1 1
    624   4   3   7 1 1 1
    625   5   3   7 1 1 1
    626   6   3   7 1 1 1
    627   7   3   7 1 1 1
    628   8   3   7 1 1 1
    629   9   3   7 1 1 1
    630  10   3   7 1 1 1
    631   1   4   7 1 1 1
    632   2   4   7 1 1 1
    633   3   4   7 1 1 1
    634   4   4   7 1 1 1
    635   5   4   7 1 1 1
    636   6   4   7 1 1 1
    637   7   4   7 1 1 1
    638   8   4   7 1 1 1
    639   9   4   7 1 1 1
    640  10   4   7 1 1 1
    641   1   5   7 1 1 1
    642   2   5   7 1 1 1
    643   3   5   7 1 1 1
    644   4   5   7 1 1 1
    645   5   5   7 1 1 1
    646   6   5   7 1 1 1
    647   7   5   7 1 1 1
    648   8   5   7 1 1 1
    649   9   5   7 1 1 1
    650  10   5   7 1 1 1
    651   1   6   7 1 1 1
    652   2   6   7 1 1 1
    653   3   6   7 1 1 1
    654   4   6   7 1 1 1
    655   5   6   7 1 1 1
    656   6   6   7 1 1 1
    657   7   6   7 1 1 1
    658   8   6   7 1 1 1
    659   9   6   7 1 1 1
    660  10   6   7 1 1 1
    661   1   7   7 1 1 1
    662   2   7   7 1 1 1
    663   3   7   7 1 1 1
    664   4   7   7 1 1 1
    665   5   7   7 1 1 1
    666   6   7   7 1 1 1
    667   7   7   7 1 1 1
    668   8   7   7 1 1 1
    669   9   7   7 1 1 1
    670  10   7   7 1 1 1
    671   1   8   7 1 1 1
    672   2   8   7 1 1 1
    673   3   8   7 1 1 1
    674   4   8   7 1 1 1
    675   5   8   7 1 1 1
    676   6   8   7 1 1 1
    677   7   8   7 1 1 1
    678   8   8   7 1 1 1
    679   9   8   7 1 1 1
    680  10   8   7 1 1 1
    681   1   9   7 1 1 1
    682   2   9   7 1 1 1
    683   3   9   7 1 1 1
    684   4   9   7 1 1 1
    685   5   9   7 1 1 1
    686   6   9   7 1 1 1
    687   7   9   7 1 1 1
    688   8   9   7 1 1 1
