 >TARELL  ellipsoidal grain; AX,AY,AZ= 20.0000 20.0000 20.0000
      4224 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    689   -3   -6   -5 1 1 1
    690   -2   -6   -5 1 1 1
    691   -1   -6   -5 1 1 1
    692    0   -6   -5 1 1 1
    693    1   -6   -5 1 1 1
    694    2   -6   -5 1 1 1
    695    3   -6   -5 1 1 1
    696    4   -6   -5 1 1 1
    697    5   -6   -5 1 1 1
    698    6   -6   -5 1 1 1
    699   -8   -5   -5 1 1 1
    700   -7   -5   -5 1 1 1
    701   -6   -5   -5 1 1 1
    702   -5   -5   -5 1 1 1
    703   -4   -5   -5 1 1 1
    704   -3   -5   -5 1 1 1
    705   -2   -5   -5 1 1 1
    706   -1   -5   -5 1 1 1
    707    0   -5   -5 1 1 1
    708    1   -5   -5 1 1 1
    709    2   -5   -5 1 1 1
    710    3   -5   -5 1 1 1
    711    4   -5   -5 1 1 1
    712    5   -5   -5 1 1 1
    713    6   -5   -5 1 1 1
    714    7   -5   -5 1 1 1
    715   -8   -4   -5 1 1 1
    716   -7   -4   -5 1 1 1
    717   -6   -4   -5 1 1 1
    718   -5   -4   -5 1 1 1
    719   -4   -4   -5 1 1 1
    720   -3   -4   -5 1 1 1
    721   -2   -4   -5 1 1 1
    722   -1   -4   -5 1 1 1
    723    0   -4   -5 1 1 1
    724    1   -4   -5 1 1 1
    725    2   -4   -5 1 1 1
    726    3   -4   -5 1 1 1
    727    4   -4   -5 1 1 1
    728    5   -4   -5 1 1 1
    729    6   -4   -5 1 1 1
    730    7   -4   -5 1 1 1
    731   -9   -3   -5 1 1 1
    732   -8   -3   -5 1 1 1
    733   -7   -3   -5 1 1 1
    734   -6   -3   -5 1 1 1
    735   -5   -3   -5 1 1 1
    736   -4   -3   -5 1 1 1
    737   -3   -3   -5 1 1 1
    738   -2   -3   -5 1 1 1
    739   -1   -3   -5 1 1 1
    740    0   -3   -5 1 1 1
    741    1   -3   -5 1 1 1
    742    2   -3   -5 1 1 1
    743    3   -3   -5 1 1 1
    744    4   -3   -5 1 1 1
    745    5   -3   -5 1 1 1
    746    6   -3   -5 1 1 1
    747    7   -3   -5 1 1 1
    748    8   -3   -5 1 1 1
    749   -9   -2   -5 1 1 1
    750   -8   -2   -5 1 1 1
    751   -7   -2   -5 1 1 1
    752   -6   -2   -5 1 1 1
    753   -5   -2   -5 1 1 1
    754   -4   -2   -5 1 1 1
    755   -3   -2   -5 1 1 1
    756   -2   -2   -5 1 1 1
    757   -1   -2   -5 1 1 1
    758    0   -2   -5 1 1 1
    759    1   -2   -5 1 1 1
    760    2   -2   -5 1 1 1
    761    3   -2   -5 1 1 1
    762    4   -2   -5 1 1 1
    763    5   -2   -5 1 1 1
    764    6   -2   -5 1 1 1
    765    7   -2   -5 1 1 1
    766    8   -2   -5 1 1 1
    767   -9   -1   -5 1 1 1
